Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"Thompson (AP), Ty",Thompson (AP), Ty,ORA,,2,3,2,5,0,0,1,0,0
2019,"Thompson, Josh",Thompson, Josh,BRA,,20,1,4,5,8,0,0,0,0
2019,"Thomson AP, Finlay",Thomson AP, Finlay,MIM,,4,2,3,5,2,1,1,0,0
2019,"Walker, Brayden",Walker, Brayden,KWE,,9,3,2,5,0,0,0,0,0
2019,"(AP) Dooley, Taylor",(AP) Dooley, Taylor,TOR,,18,3,1,4,14,0,0,0,0
2019,"Anderson, David",Anderson, David,TOR,,4,3,1,4,0,0,0,0,1
2019,"Barnes, Rowisonkies",Barnes, Rowisonkies,PET,,4,0,4,4,0,0,1,0,1
2019,"Bolger, Dawson",Bolger, Dawson,KWE,,6,1,3,4,0,0,0,0,0
2019,"Bomberry, Davin",Bomberry, Davin,SNA,,4,0,4,4,2,0,0,0,0
2019,"Bushey, Jayden",Bushey, Jayden,PET,,7,0,4,4,0,0,1,0,0
2019,"Crowley, Kevin",Crowley, Kevin,MIM,,9,0,4,4,0,0,0,0,0
2019,"Erskine, Brett",Erskine, Brett,SCA,,2,1,3,4,0,0,2,0,0
2019,"Jackman, Michael",Jackman, Michael,OAK,,19,1,3,4,14,0,0,0,0
2019,"Janse, Gage",Janse, Gage,BLS,,11,0,4,4,6,0,0,0,0
2019,"Kangas, Charlie",Kangas, Charlie,PET,,6,0,4,4,4,0,0,0,0
2019,"McKenzie, Carter",McKenzie, Carter,KWE,,5,3,1,4,0,0,0,1,0
2019,"Medeiros, Jordan",Medeiros, Jordan,BRA,,19,0,4,4,22,0,0,0,1
2019,"Mikulik, Ty",Mikulik, Ty,ORA,,19,0,4,4,27,0,0,0,0
2019,"Snider, Lucas",Snider, Lucas,KWE,,10,2,2,4,19,0,1,0,0
2019,"Thistlethwaite, Adam",Thistlethwaite, Adam,PET,,16,2,2,4,4,0,0,0,0
2019,"Utrosa, Ben",Utrosa, Ben,WHI,,17,2,2,4,18,0,0,0,0
2019,"Wyers, Cameron",Wyers, Cameron,TOR,,12,2,2,4,28,0,0,1,0
2019,"X MAYEA, BRAYDEN",X MAYEA, BRAYDEN,SCA,,1,0,4,4,0,0,1,0,0
2019,"Ash AP, Riley",Ash AP, Riley,ORA,,2,0,3,3,0,0,0,0,0
2019,"Beaulieu AP, Noah",Beaulieu AP, Noah,MIM,,4,0,3,3,6,0,0,0,0
2019,"Black-Fernandes, Ethan",Black-Fernandes, Ethan,TOR,,20,0,3,3,25,0,0,0,0
2019,"Boehm, Jonah",Boehm, Jonah,KWE,,18,0,3,3,8,0,0,0,0
2019,"Cecile, Will",Cecile, Will,BUR,,11,1,2,3,4,0,1,0,0
2019,"Coulman, Hayden",Coulman, Hayden,OAK,,17,0,3,3,6,0,0,0,0
2019,"Creasor, Caleb",Creasor, Caleb,BLS,,11,2,1,3,6,0,0,0,0
2019,"Follows, Jack",Follows, Jack,OAK,,16,1,2,3,4,1,0,0,0
2019,"Handsor, Brett",Handsor, Brett,BLS,,4,0,3,3,4,0,1,0,0
2019,"MacDonald AP, Graham",MacDonald AP, Graham,BLS,,6,1,2,3,2,0,0,0,0
2019,"Mackay, Liam",Mackay, Liam,BRA,,10,2,1,3,11,0,0,0,0
2019,"McKinnon, Ian",McKinnon, Ian,WHI,,12,0,3,3,94,0,2,0,0
2019,"Pitt, George",Pitt, George,ORA,,5,2,1,3,2,0,0,0,0
2019,"Pitt, Norm",Pitt, Norm,ORA,,6,1,2,3,0,0,0,0,0
2019,"Renzetti, Lucas",Renzetti, Lucas,BLS,,17,0,3,3,21,0,0,0,0
2019,"Riggs, Ethan",Riggs, Ethan,BUR,,19,0,3,3,31,0,0,0,1
2019,"Robinson, Luke",Robinson, Luke,BUR,,1,1,2,3,0,0,0,0,0
2019,"Romanchych, Curtis",Romanchych, Curtis,ORA,,11,1,2,3,17,0,0,0,0
2019,"Stoop, Mark",Stoop, Mark,PET,,2,1,2,3,0,0,0,0,0
2019,"Wallace, Blain",Wallace, Blain,BUR,,2,1,2,3,2,0,1,0,0
2019,"Ward, Aaron",Ward, Aaron,SCA,,2,1,2,3,0,0,0,0,0
2019,"Webb, Nicholas",Webb, Nicholas,PET,,19,0,3,3,6,0,0,0,0
2019,"X (AP) Martin, Justin",X (AP) Martin, Justin,TOR,,3,2,1,3,0,0,0,1,0
2019,"(AP) Nizielski, Kaz",(AP) Nizielski, Kaz,TOR,,6,0,2,2,2,0,0,0,0
2019,"(UAP) Romano, Luca",(UAP) Romano, Luca,TOR,,2,0,2,2,0,0,0,0,0
2019,"Anderson, Daris",Anderson, Daris,SNA,,1,0,2,2,2,0,0,0,0
2019,"Carroll AP, James",Carroll AP, James,OAK,,7,0,2,2,2,0,1,0,1
2019,"Cole, Joe",Cole, Joe,PET,,1,1,1,2,0,0,0,0,0
2019,"Collins, Tom",Collins, Tom,PET,,3,2,0,2,0,0,0,0,0
2019,"Cook-Down, Owen",Cook-Down, Owen,TOR,,6,1,1,2,4,0,0,0,0
2019,"DeAmicis, Patrick",DeAmicis, Patrick,BRA,,20,0,2,2,0,0,0,0,0
2019,"Egan, Cam",Egan, Cam,TOR,,12,1,1,2,21,0,0,0,0
2019,"Ertel AP, Justin",Ertel AP, Justin,KWE,,2,0,2,2,0,0,2,0,0
2019,"Grace, Michael",Grace, Michael,BUR,,16,0,2,2,6,0,0,0,0
2019,"Grandel, Tyler",Grandel, Tyler,PET,,20,2,0,2,16,0,0,0,0
2019,"Hall, Curtis",Hall, Curtis,KWE,,20,0,2,2,29,0,0,0,0
2019,"Howard, Gavin",Howard, Gavin,SCA,,2,0,2,2,0,0,0,0,0
2019,"Hrynluk, Pete",Hrynluk, Pete,SCA,,3,2,0,2,0,0,0,0,0
2019,"Iozzo, Gabe",Iozzo, Gabe,MIM,,10,0,2,2,6,0,1,0,0
2019,"Kane, Kerry",Kane, Kerry,TOR,,3,1,1,2,0,0,0,0,0
2019,"Kaschalk, Patrick",Kaschalk, Patrick,BUR,,5,0,2,2,4,0,0,0,0
2019,"Kenney, Nolam",Kenney, Nolam,MIM,,16,1,1,2,4,0,0,0,0
2019,"Kit, John",Kit, John,SCA,,16,2,0,2,2,0,0,0,0
2019,"Lebar, Noah",Lebar, Noah,KWE,,20,0,2,2,21,0,0,0,0
2019,"McDonnel, Brendan",McDonnel, Brendan,PET,,2,0,2,2,0,0,0,0,0
2019,"Okaema, Emeka",Okaema, Emeka,TOR,,20,0,2,2,8,0,0,0,0
2019,"Powless, Marshall",Powless, Marshall,SNA,,1,1,1,2,0,1,0,0,0
2019,"Sanderson (AP), Cam",Sanderson (AP), Cam,ORA,,2,0,2,2,2,0,0,0,0
2019,"Thomas, Dalton",Thomas, Dalton,SNA,,2,1,1,2,0,0,0,0,1
2019,"Thompson, Nonkon",Thompson, Nonkon,SNA,,2,0,2,2,6,0,0,0,0
2019,"Walker, Jason",Walker, Jason,BRA,,4,0,2,2,14,0,0,0,1
2019,"Weier, Chris",Weier, Chris,ORA,,6,1,1,2,0,0,0,0,0
2019,"Wheeler, Daniel",Wheeler, Daniel,BRA,,17,0,2,2,31,0,0,0,0
2019,"X Ackie, Jordan",X Ackie, Jordan,KWE,,13,0,2,2,4,0,0,0,0
2019,"X Rowe, Sam",X Rowe, Sam,MIM,,15,0,2,2,8,0,0,0,0
2019,"(AP) McGinnis, Cam",(AP) McGinnis, Cam,TOR,,1,0,1,1,0,0,1,0,0
2019,"Altmann, Michael",Altmann, Michael,MIM,,9,0,1,1,8,0,0,0,0
2019,"Anderson, Daris",Anderson, Daris,SNA,,8,0,1,1,7,0,0,0,0
2019,"Andersson, Mike (AP)",Andersson, Mike (AP),WHI,,2,0,1,1,0,0,0,0,0
2019,"Beaulieu, Noah",Beaulieu, Noah,MIM,,1,0,1,1,0,0,0,0,0
2019,"Belter, Zach",Belter, Zach,ORA,,3,0,1,1,0,0,0,0,0
2019,"Clark, Andrew",Clark, Andrew,KWE,,20,0,1,1,4,0,0,0,0
2019,"Columbus, Bo",Columbus, Bo,KWE,,14,1,0,1,17,0,0,0,0
2019,"Cook, Avery",Cook, Avery,PET,,9,1,0,1,6,0,0,0,0
2019,"Davis, Cal",Davis, Cal,PET,,4,1,0,1,2,0,0,0,0
2019,"Essensa AP, Cameron",Essensa AP, Cameron,MIM,,1,0,1,1,0,0,0,0,0
2019,"Ford AP, Tyler",Ford AP, Tyler,NA,,1,0,1,1,0,0,0,0,0
2019,"Fox, Hayden",Fox, Hayden,SNA,,10,0,1,1,46,0,0,0,0
