PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
KYLE STERRITT,Brampton Excelsiors,D,11,1,1,2,2,0,0,0,0
LIAM PERRO,Orangeville Northmen,D,11,1,1,2,14,0,0,0,0
CHRIS HARLAND,Toronto Beaches,D,12,1,1,2,0,0,0,0,0
ANDREW HORSLEY,Brampton Excelsiors,T,14,1,1,2,34,0,0,0,0
NEAL ADAMSON,Brampton Excelsiors,D,14,1,1,2,36,0,0,0,0
KOBE HANDSOR,Whitby Warriors,D,18,1,1,2,12,0,1,0,0
JAYDEN BUSHEY,Peterborough Lakers,F,1,0,2,2,0,0,2,0,0
JARED DOWNEY,Orangeville Northmen,F,1,0,2,2,0,0,0,0,0
CURTIS MARTIN,Peterborough Lakers,–,1,0,2,2,0,0,0,0,0
ZACH GIGNAC,Oakville Buzz,F,1,0,2,2,0,0,0,0,0
COOPER DAY-ALLISON,Burlington Chiefs,–,1,0,2,2,0,0,0,0,1
ZACH MCDONALD,Burlington Chiefs,–,3,0,2,2,4,0,0,0,0
BRETT VINCE,Kitchener-Waterloo,–,7,0,2,2,0,0,0,0,0
KENNY SPROAT,Burlington Chiefs,D,15,0,2,2,8,0,0,0,0
BO DOXTATOR,Six Nations Arrows,D,17,0,2,2,32,0,0,0,0
AIDEN FEARN,Six Nations Arrows,D,18,0,2,2,45,0,0,0,0
JAKE DOOLITTLE,Whitby Warriors,D,18,0,2,2,8,0,0,0,1
ANSELMO REGO AP,Mimico Mountaineers,T,1,1,0,1,0,1,0,0,0
GAGE NOSEWORTHY,Orangeville Northmen,D,1,1,0,1,2,0,0,0,0
ALEX POLISOTO,St. Catharines Athletics,F,1,1,0,1,0,0,0,1,0
ZACH LEFEBVRE,Peterborough Lakers,–,1,1,0,1,0,1,0,0,0
JEREMY FANCETT,Brampton Excelsiors,F,1,1,0,1,0,0,0,0,0
JEREMY FANCETT,Brampton Excelsiors,F,1,1,0,1,0,0,0,0,0
COLE TUCKER,Whitby Warriors,F,1,1,0,1,0,1,0,0,0
NICK BAFIA,Orangeville Northmen,F,1,1,0,1,0,0,0,0,0
EOIN MACKAY,Toronto Beaches,–,1,1,0,1,0,0,0,1,0
MICAHEL GREEN,Peterborough Lakers,–,2,1,0,1,4,0,0,0,0
KALEB MALYON,Six Nations Arrows,D,3,1,0,1,8,0,0,0,0
MYLES NEWPORT,Oakville Buzz,D,3,1,0,1,0,0,0,0,0
BOBBY CROWE,Peterborough Lakers,D,4,1,0,1,2,1,0,0,0
JONATHAN GAGLIARDI,Oakville Buzz,T,6,1,0,1,8,0,0,0,0
CALLYN MARTIN,Kitchener-Waterloo,D,7,1,0,1,4,0,0,0,0
JACOB GARCIA,Brampton Excelsiors,D,7,1,0,1,8,0,0,0,0
FRANK COYLE,Peterborough Lakers,F,7,1,0,1,2,0,0,0,0
MAX SKENE,Burlington Chiefs,D,11,1,0,1,0,0,0,1,0
NOLAN KENNEY,"Orangeville Northmen , Kitchener-Waterloo",D,12,1,0,1,14,0,0,0,0
Orangeville Northmen,71,5,0,0,0,0,0,0,0,0,4
