PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
ETHAN BROWN AP,Mimico Mountaineers,"23, 55",T,8,1,2,3,0,1,1,0,11,0
MICHAEL GRACE,Burlington Chiefs,20,D,13,1,2,3,0,0,0,0,19,0
WILLIAM WHITE,Peterborough Lakers,20,D,14,1,2,3,0,0,0,0,2,0
BEN DOHERTY,St. Catharines Athletics,90,D,14,1,2,3,0,0,0,0,42,0
MARK VAN SCHEPEN,Brampton Excelsiors,10,D,16,1,2,3,0,0,0,0,23,0
LUCAS HUCAL,Oakville Buzz,21,T,18,1,2,3,1,1,0,0,16,0
GEORGE PITT,Burlington Chiefs,2,F,1,1,1,2,0,0,0,0,0,0
NATE SAGE,Peterborough Lakers,9,F,1,1,1,2,1,1,0,0,0,0
DYLAN CORDINGLEY,Orangeville Northmen,27,F,1,1,1,2,0,0,0,0,0,0
ANDY DALTON,Kitchener-Waterloo,22,–,2,1,1,2,0,0,0,0,4,0
HAMISH MCPHERSON,Toronto Beaches,11,–,2,1,1,2,0,0,0,0,0,0
DAMON DOXTATOR,Six Nations Arrows,81,F,2,1,1,2,0,0,0,0,0,0
BRETT HARRISON AP,Mimico Mountaineers,"18, 19, 25",–,4,1,1,2,0,0,0,0,0,0
KEATON BROWN,Orangeville Northmen,27,F,4,1,1,2,0,0,0,0,0,0
ZACH MACDONALD,Burlington Chiefs,"16, 24",T,6,1,1,2,0,0,0,0,12,0
ETHAN FISHER,St. Catharines Athletics,"10, 50",D,7,1,1,2,0,0,0,0,0,0
NICHOLAS DAMICO,Burlington Chiefs,"12, 15, 22",D,7,1,1,2,0,0,0,0,2,0
JACOB GARCIA,Mimico Mountaineers,"14, 23",–,8,1,1,2,0,0,0,0,2,0
KYLE STERRITT,Brampton Excelsiors,"15, 7",D,9,1,1,2,0,0,0,0,2,0
LIAM PERRO,Orangeville Northmen,"15, 25",D,10,1,1,2,0,0,0,0,14,0
JOHN WHEELER,Whitby Warriors,18,D,11,1,1,2,0,0,0,0,7,0
ANDREW HORSLEY,Brampton Excelsiors,7,T,12,1,1,2,0,0,0,0,32,0
CHRIS HARLAND,Toronto Beaches,22,D,12,1,1,2,0,0,0,0,0,0
KOBE HANDSOR,Whitby Warriors,16,D,17,1,1,2,0,1,0,0,12,0
ZACH LEFEBVRE,Peterborough Lakers,8,–,1,1,0,1,1,0,0,0,0,0
GAGE NOSEWORTHY,Orangeville Northmen,42,D,1,1,0,1,0,0,0,0,2,0
EOIN MACKAY,Toronto Beaches,4,–,1,1,0,1,0,0,1,0,0,0
JEREMY FANCETT,Brampton Excelsiors,91,F,1,1,0,1,0,0,0,0,0,0
COLE TUCKER,Whitby Warriors,15,F,1,1,0,1,1,0,0,0,0,0
ANSELMO REGO AP,Mimico Mountaineers,25,T,1,1,0,1,1,0,0,0,0,0
NICK BAFIA,Orangeville Northmen,23,F,1,1,0,1,0,0,0,0,0,0
JEREMY FANCETT,Brampton Excelsiors,24,F,1,1,0,1,0,0,0,0,0,0
ALEX POLISOTO,St. Catharines Athletics,23,F,1,1,0,1,0,0,1,0,0,0
CHRIS DASILVA,Brampton Excelsiors,"42, 91",–,2,1,0,1,0,0,0,0,0,0
MICAHEL GREEN,Peterborough Lakers,"11, 14",–,2,1,0,1,0,0,0,0,4,0
MYLES NEWPORT,Oakville Buzz,3,D,3,1,0,1,0,0,0,0,0,0
KALEB MALYON,Six Nations Arrows,10,D,3,1,0,1,0,0,0,0,8,0
BOBBY CROWE,Peterborough Lakers,21,D,3,1,0,1,1,0,0,0,2,0
CURTIS WARD,Brampton Excelsiors,"42, 91",F,4,1,0,1,0,0,0,0,0,0
JONATHAN GAGLIARDI,Oakville Buzz,23,T,6,1,0,1,0,0,0,0,8,0
CALLYN MARTIN,Kitchener-Waterloo,7,D,7,1,0,1,0,0,0,0,4,0
FRANK COYLE,Peterborough Lakers,9,F,7,1,0,1,0,0,0,0,2,0
JACOB GARCIA,Brampton Excelsiors,22,D,7,1,0,1,0,0,0,0,8,0
MAX SKENE,Burlington Chiefs,14,D,10,1,0,1,0,0,1,0,0,0
NOLAN KENNEY,"Orangeville Northmen , Kitchener-Waterloo","71, 4, 7",D,12,1,0,1,0,0,0,0,14,0
